"CN","STAID","STANAME","LAT","LON","HGHT","latUpd","longUpd","LatLong","Country"
"GB",271,"ARMAGH                                  ","+54:21:00","-006:39:00",62,54.35,-5.35,"54.35:-5.35","United Kingdom of Great Britain and Northern Ireland"
"GB",272,"ESKDALEMUIR                             ","+55:19:00","-003:12:00",242,55.3166666666667,-2.8,"55.3166666666667:-2.8","United Kingdom of Great Britain and Northern Ireland"
"GB",273,"HULL                                    ","+53:46:00","-000:22:00",2,53.7666666666667,0.366666666666667,"53.7666666666667:0.366666666666667","United Kingdom of Great Britain and Northern Ireland"
"GB",274,"OXFORD                                  ","+51:46:00","-001:16:00",63,51.7666666666667,-0.733333333333333,"51.7666666666667:-0.733333333333333","United Kingdom of Great Britain and Northern Ireland"
"GB",275,"WICK                                    ","+58:27:00","-003:04:59",36,58.45,-2.91694444444444,"58.45:-2.91694444444444","United Kingdom of Great Britain and Northern Ireland"
"GB",348,"LERWICK                                 ","+60:07:59","-001:10:59",82,60.1330555555556,-0.816944444444444,"60.1330555555556:-0.816944444444444","United Kingdom of Great Britain and Northern Ireland"
"GB",349,"STORNOWAY AIRPORT                       ","+58:19:48","-006:19:12",9,58.33,-5.68,"58.33:-5.68","United Kingdom of Great Britain and Northern Ireland"
"GB",350,"VALLEY                                  ","+53:15:00","-004:31:59",11,53.25,-3.46694444444444,"53.25:-3.46694444444444","United Kingdom of Great Britain and Northern Ireland"
"GB",351,"WADDINGTON                              ","+53:09:57","-000:31:26",68,53.1658333333333,0.523888888888889,"53.1658333333333:0.523888888888889","United Kingdom of Great Britain and Northern Ireland"
"GB",352,"CAMBORNE                                ","+50:13:00","-005:19:00",88,50.2166666666667,-4.68333333333333,"50.2166666666667:-4.68333333333333","United Kingdom of Great Britain and Northern Ireland"
"GB",427,"STORNOWAY                               ","+58:13:12","-006:19:12",21,58.22,-5.68,"58.22:-5.68","United Kingdom of Great Britain and Northern Ireland"
"GB",1639,"CAMBRIDGE (B. GDNS)                     ","+52:11:35","+000:07:54",13,52.1930555555556,0.131666666666667,"52.1930555555556:0.131666666666667","United Kingdom of Great Britain and Northern Ireland"
"GB",1862,"MANSTON                                 ","+51:20:45","+001:20:24",49,51.3458333333333,1.34,"51.3458333333333:1.34","United Kingdom of Great Britain and Northern Ireland"
"GB",2124,"BRIZE NORTON                            ","+51:45:00","-001:34:48",88,51.75,-0.42,"51.75:-0.42","United Kingdom of Great Britain and Northern Ireland"
"GB",3872,"HUNTINGTON                              ","+52:22:00","+000:13:00",49,52.3666666666667,0.216666666666667,"52.3666666666667:0.216666666666667","United Kingdom of Great Britain and Northern Ireland"
"GB",3875,"UPPER HEYFORD                           ","+51:55:59","-001:15:00",134,51.9330555555556,-0.75,"51.9330555555556:-0.75","United Kingdom of Great Britain and Northern Ireland"
"GB",3876,"FAIRFORD                                ","+51:40:59","-001:46:59",87,51.6830555555556,-0.216944444444444,"51.6830555555556:-0.216944444444444","United Kingdom of Great Britain and Northern Ireland"
"GB",3877,"GREENHAM                                ","+51:22:59","-001:16:59",122,51.3830555555556,-0.716944444444444,"51.3830555555556:-0.716944444444444","United Kingdom of Great Britain and Northern Ireland"
"GB",3880,"LAKENHEATH RAF                          ","+52:24:00","+000:34:00",10,52.4,0.566666666666667,"52.4:0.566666666666667","United Kingdom of Great Britain and Northern Ireland"
"GB",3882,"SCULTHORPE                              ","+52:51:00","+000:46:00",65,52.85,0.766666666666667,"52.85:0.766666666666667","United Kingdom of Great Britain and Northern Ireland"
"GB",3883,"MILDENHALL                              ","+52:22:00","+000:28:59",10,52.3666666666667,0.483055555555556,"52.3666666666667:0.483055555555556","United Kingdom of Great Britain and Northern Ireland"
"GB",3884,"BENTWATERS                              ","+52:07:59","+001:25:59",26,52.1330555555556,1.43305555555556,"52.1330555555556:1.43305555555556","United Kingdom of Great Britain and Northern Ireland"
"GB",3886,"WETHERSFIELD                            ","+51:58:00","+000:30:00",98,51.9666666666667,0.5,"51.9666666666667:0.5","United Kingdom of Great Britain and Northern Ireland"
"GB",3887,"WOODBRIDGE                              ","+52:04:59","+001:24:00",29,52.0830555555556,1.4,"52.0830555555556:1.4","United Kingdom of Great Britain and Northern Ireland"
"KZ",388,"ATYRAU                                  ","+47:07:00","+051:55:00",-22,47.1166666666667,51.9166666666667,"47.1166666666667:51.9166666666667","Kazakhstan"
"KZ",407,"TURGAJ                                  ","+49:37:48","+063:30:00",124,49.63,63.5,"49.63:63.5","Kazakhstan"
"KZ",409,"URALSK                                  ","+51:15:00","+051:24:00",36,51.25,51.4,"51.25:51.4","Kazakhstan"
"KZ",2949,"UIL                                     ","+49:04:00","+054:40:59",128,49.0666666666667,54.6830555555556,"49.0666666666667:54.6830555555556","Kazakhstan"
"KZ",3011,"PETROPAVLOVSK                           ","+54:49:59","+069:09:00",142,54.8330555555556,69.15,"54.8330555555556:69.15","Kazakhstan"
"KZ",3015,"KUSTANAI                                ","+53:13:00","+063:37:00",170,53.2166666666667,63.6166666666667,"53.2166666666667:63.6166666666667","Kazakhstan"
"KZ",3022,"ATBASAR                                 ","+51:49:00","+068:22:00",304,51.8166666666667,68.3666666666667,"51.8166666666667:68.3666666666667","Kazakhstan"
"KZ",3029,"KARAGANDA                               ","+49:48:00","+073:09:00",553,49.8,73.15,"49.8:73.15","Kazakhstan"
"KZ",3034,"KZYLZAR                                 ","+48:17:58","+069:41:58",362,48.2994444444444,69.6994444444445,"48.2994444444444:69.6994444444445","Kazakhstan"
"KZ",3037,"ARALSKOE MORE                           ","+46:46:46","+061:40:10",62,46.7794444444444,61.6694444444444,"46.7794444444444:61.6694444444444","Kazakhstan"
"KZ",3046,"TURKESTAN                               ","+43:16:12","+068:13:12",206,43.27,68.22,"43.27:68.22","Kazakhstan"
"KZ",3232,"IRTYSHSK                                ","+53:21:00","+075:27:00",94,53.35,75.45,"53.35:75.45","Kazakhstan"
"KZ",3278,"ASTANA                                  ","+51:07:59","+071:22:00",350,51.1330555555556,71.3666666666667,"51.1330555555556:71.3666666666667","Kazakhstan"
"KZ",3279,"AKTOBE                                  ","+50:16:59","+057:09:00",219,50.2830555555556,57.15,"50.2830555555556:57.15","Kazakhstan"
"KZ",3280,"TAIPAK                                  ","+49:03:00","+051:52:00",2,49.05,51.8666666666667,"49.05:51.8666666666667","Kazakhstan"
"KZ",3281,"IRGIZ                                   ","+48:37:00","+061:16:00",156,48.6166666666667,61.2666666666667,"48.6166666666667:61.2666666666667","Kazakhstan"
"KZ",3282,"KARSAKPAJ                               ","+47:49:59","+066:45:00",488,47.8330555555556,66.75,"47.8330555555556:66.75","Kazakhstan"
"KZ",3283,"BALHASH                                 ","+46:48:00","+075:04:59",350,46.8,75.0830555555555,"46.8:75.0830555555555","Kazakhstan"
"KZ",3285,"SEMEJ                                   ","+50:25:00","+080:18:00",196,50.4166666666667,80.3,"50.4166666666667:80.3","Kazakhstan"
"KZ",3286,"ZAJSAN                                  ","+47:28:00","+084:55:00",603,47.4666666666667,84.9166666666667,"47.4666666666667:84.9166666666667","Kazakhstan"
"KZ",3287,"UCH-ARAL                                ","+46:10:00","+080:55:59",388,46.1666666666667,80.9330555555556,"46.1666666666667:80.9330555555556","Kazakhstan"
"KZ",3288,"ZHARKENT                                ","+44:10:00","+080:04:00",645,44.1666666666667,80.0666666666667,"44.1666666666667:80.0666666666667","Kazakhstan"
"KZ",3289,"ALMATY                                  ","+43:13:59","+076:55:59",851,43.2330555555556,76.9330555555556,"43.2330555555556:76.9330555555556","Kazakhstan"
"LT",200,"KAUNAS                                  ","+54:52:59","+023:49:59",77,54.8830555555556,23.8330555555556,"54.8830555555556:23.8330555555556","Lithuania"
"LT",201,"KLAIPEDA                                ","+55:43:59","+021:04:00",6,55.7330555555556,21.0666666666667,"55.7330555555556:21.0666666666667","Lithuania"
"LT",202,"VILNIUS                                 ","+54:37:59","+025:06:00",156,54.6330555555556,25.1,"54.6330555555556:25.1","Lithuania"
"LT",1003,"PALANGA                                 ","+56:00:00","+021:06:00",15,56,21.1,"56:21.1","Lithuania"
"LT",1004,"VEJAYCHAY                               ","+55:42:00","+021:30:00",64,55.7,21.5,"55.7:21.5","Lithuania"
"LT",1005,"TELCHAJ                                 ","+55:54:00","+022:18:00",153,55.9,22.3,"55.9:22.3","Lithuania"
"LT",1006,"LAUKUVA                                 ","+55:36:00","+022:12:00",165,55.6,22.2,"55.6:22.2","Lithuania"
"LT",1007,"SIAULIAI                                ","+55:55:59","+023:19:00",106,55.9330555555556,23.3166666666667,"55.9330555555556:23.3166666666667","Lithuania"
"LT",1008,"PANEVEZHIS                              ","+55:43:48","+024:24:00",57,55.73,24.4,"55.73:24.4","Lithuania"
"LT",1009,"BIRZAI                                  ","+56:12:00","+024:46:00",60,56.2,24.7666666666667,"56.2:24.7666666666667","Lithuania"
"LT",1010,"DUKSTAS                                 ","+55:30:00","+026:18:00",164,55.5,26.3,"55.5:26.3","Lithuania"
"LT",1011,"SHILUTE                                 ","+55:24:00","+021:30:00",4,55.4,21.5,"55.4:21.5","Lithuania"
"LT",1012,"NIDA                                    ","+55:18:00","+021:00:00",2,55.3,21,"55.3:21","Lithuania"
"LT",1013,"SOVETSK (TIL-ZIT)                       ","+55:04:48","+021:55:48",37,55.08,21.93,"55.08:21.93","Lithuania"
"LT",1014,"TURAGE                                  ","+55:18:00","+022:18:00",33,55.3,22.3,"55.3:22.3","Lithuania"
"LT",1015,"DOTNUVA                                 ","+55:24:00","+023:54:00",69,55.4,23.9,"55.4:23.9","Lithuania"
"LT",1016,"RACEINAY                                ","+55:24:00","+023:06:00",111,55.4,23.1,"55.4:23.1","Lithuania"
"LT",1017,"UTENA                                   ","+55:30:00","+025:36:00",105,55.5,25.6,"55.5:25.6","Lithuania"
"LT",1018,"UKMARGE                                 ","+55:18:00","+024:48:00",72,55.3,24.8,"55.3:24.8","Lithuania"
"LT",1019,"KIMBARTAY                               ","+54:36:00","+022:48:00",58,54.6,22.8,"54.6:22.8","Lithuania"
"LT",1020,"LAZDIJAI                                ","+54:13:59","+023:31:00",133,54.2330555555556,23.5166666666667,"54.2330555555556:23.5166666666667","Lithuania"
"LT",1021,"VARENA                                  ","+54:18:00","+024:36:00",109,54.3,24.6,"54.3:24.6","Lithuania"
"SI",228,"LJUBLJANA BEZIGRAD                      ","+46:03:56","+014:31:01",299,46.0655555555556,14.5169444444444,"46.0655555555556:14.5169444444444","Slovenia"
"SI",1752,"KREDARICA                               ","+46:22:45","+013:51:14",2514,46.3791666666667,13.8538888888889,"46.3791666666667:13.8538888888889","Slovenia"
"SI",3301,"CRNOMELJ-DOBLICE                        ","+45:36:00","+015:12:00",157,45.6,15.2,"45.6:15.2","Slovenia"
"SI",3311,"KOCEVJE                                 ","+45:36:00","+014:54:00",467,45.6,14.9,"45.6:14.9","Slovenia"
"SI",3312,"LESCE                                   ","+46:24:00","+014:12:00",515,46.4,14.2,"46.4:14.2","Slovenia"
"SI",3316,"TOPOL PRI MEDVODAH                      ","+46:06:00","+014:24:00",660,46.1,14.4,"46.1:14.4","Slovenia"
"SI",3317,"VOJSKO                                  ","+46:00:00","+013:54:00",1067,46,13.9,"46:13.9","Slovenia"
"SI",3322,"NOVA VAS NA BLOKAH                      ","+45:48:00","+014:30:00",722,45.8,14.5,"45.8:14.5","Slovenia"
"SI",3323,"POSTOJNA                                ","+45:48:00","+014:12:00",533,45.8,14.2,"45.8:14.2","Slovenia"
"SI",3325,"VELIKI DOLENCI                          ","+46:48:00","+016:18:00",308,46.8,16.3,"46.8:16.3","Slovenia"
"SI",3326,"BILJE                                   ","+45:54:00","+013:36:00",55,45.9,13.6,"45.9:13.6","Slovenia"
"SI",3328,"NOVO MESTO                              ","+45:48:00","+015:12:00",220,45.8,15.2,"45.8:15.2","Slovenia"
"SI",3329,"SMARTNO PRI SLOVENJ GRADCU              ","+46:30:00","+015:06:00",444,46.5,15.1,"46.5:15.1","Slovenia"
"SI",3330,"BRNIK-LETALISCE                         ","+46:12:00","+014:30:00",364,46.2,14.5,"46.2:14.5","Slovenia"
"SI",3331,"MARIBOR-LETALISCE                       ","+46:30:00","+015:42:00",264,46.5,15.7,"46.5:15.7","Slovenia"
"SI",3332,"PORTOROZ-LETALISCE                      ","+45:30:00","+013:36:00",2,45.5,13.6,"45.5:13.6","Slovenia"
"SI",3333,"CELJE-MEDLOG                            ","+46:12:00","+015:12:00",242,46.2,15.2,"46.2:15.2","Slovenia"
"SI",3334,"LISCA                                   ","+46:06:00","+015:18:00",943,46.1,15.3,"46.1:15.3","Slovenia"
"SI",3335,"MURSKA SOBOTA-RAKICAN                   ","+46:42:00","+016:12:00",188,46.7,16.2,"46.7:16.2","Slovenia"
"SI",3336,"RATECE-PLANICA                          ","+46:30:00","+013:42:00",864,46.5,13.7,"46.5:13.7","Slovenia"
"DZ",278,"ALGER-DAR EL BEIDA                      ","+36:43:00","+003:15:00",24,36.7166666666667,3.25,"36.7166666666667:3.25","Algeria"
"DZ",311,"EL-GOLEA                                ","+30:34:00","+002:52:00",397,30.5666666666667,2.86666666666667,"30.5666666666667:2.86666666666667","Algeria"
"DZ",430,"BISKRA                                  ","+34:51:00","+005:43:12",125,34.85,5.72,"34.85:5.72","Algeria"
"DZ",2286,"BEJAIA-BOUGIE (PORT)                    ","+36:45:00","+005:06:00",9,36.75,5.1,"36.75:5.1","Algeria"
"DZ",2287,"CONSTANTINE                             ","+36:22:11","+006:37:12",660,36.3697222222222,6.62,"36.3697222222222:6.62","Algeria"
"DZ",2288,"TEBESSA                                 ","+35:25:12","+008:07:11",863,35.42,8.11972222222222,"35.42:8.11972222222222","Algeria"
"DZ",4980,"ORAN-HOPITAL MILITAIRE                  ","+35:43:47","-000:39:00",50,35.7297222222222,0.65,"35.7297222222222:0.65","Algeria"
"DZ",7910,"ANNABA-CAP DE GARDE                     ","+36:58:12","+007:47:24",161,36.97,7.79,"36.97:7.79","Algeria"
"DZ",7912,"ALGIERS-VILLE/UNIVERSITE                ","+36:46:48","+003:04:12",59,36.78,3.07,"36.78:3.07","Algeria"
"DZ",7913,"ALGIERS-BOUZAREAH                       ","+36:48:00","+003:01:48",344,36.8,3.03,"36.8:3.03","Algeria"
"DZ",7914,"ALGIERS-CAP CAXINE                      ","+36:48:00","+003:02:24",38,36.8,3.04,"36.8:3.04","Algeria"
"DZ",7915,"TIZI OUZOU                              ","+36:43:12","+004:03:00",222,36.72,4.05,"36.72:4.05","Algeria"
"DZ",7916,"FORT NATIONAL                           ","+36:37:48","+004:12:00",942,36.63,4.2,"36.63:4.2","Algeria"
"DZ",7918,"ORLEANSVILLE (CHLEF)                    ","+36:10:12","+001:20:24",112,36.17,1.34,"36.17:1.34","Algeria"
"DZ",7919,"SETIF                                   ","+36:10:48","+005:24:00",1081,36.18,5.4,"36.18:5.4","Algeria"
"DZ",7920,"ORAN-CAP FALCON                         ","+35:46:12","-000:48:00",78,35.77,0.8,"35.77:0.8","Algeria"
"DZ",7921,"NEMOURS (GHAZAOUET)                     ","+35:06:00","-001:51:00",83,35.1,-0.15,"35.1:-0.15","Algeria"
"DZ",7922,"SIDI-BEL-ABBES                          ","+35:12:00","-000:37:48",476,35.2,0.63,"35.2:0.63","Algeria"
"DZ",7923,"LAGHOUAT                                ","+33:47:59","+002:53:24",767,33.7997222222222,2.89,"33.7997222222222:2.89","Algeria"
"DZ",7924,"GERYVILLE (EL-BAYADH)                   ","+33:40:48","+001:00:00",1320,33.68,1,"33.68:1","Algeria"
"MD",394,"KISINEV                                 ","+47:01:12","+028:52:12",173,47.02,28.87,"47.02:28.87","Moldova (Republic of)"
"MD",1022,"BRATUSHANI                              ","+48:06:00","+027:24:00",168,48.1,27.4,"48.1:27.4","Moldova (Republic of)"
"MD",1023,"SOROKI                                  ","+48:12:00","+028:18:00",173,48.2,28.3,"48.2:28.3","Moldova (Republic of)"
"MD",1024,"KAMENKA                                 ","+48:00:00","+028:42:00",154,48,28.7,"48:28.7","Moldova (Republic of)"
"MD",1025,"FALESTI                                 ","+47:36:00","+027:42:00",162,47.6,27.7,"47.6:27.7","Moldova (Republic of)"
"MD",1026,"BEL-CY                                  ","+47:42:00","+027:54:00",119,47.7,27.9,"47.7:27.9","Moldova (Republic of)"
"MD",1027,"KORNESTY                                ","+47:18:00","+028:00:00",207,47.3,28,"47.3:28","Moldova (Republic of)"
"MD",1028,"BRAVICY                                 ","+47:24:00","+028:30:00",78,47.4,28.5,"47.4:28.5","Moldova (Republic of)"
"MD",1029,"RIBNICA                                 ","+47:48:00","+029:00:00",119,47.8,29,"47.8:29","Moldova (Republic of)"
"MD",1030,"KARPINENI                               ","+46:48:00","+028:24:00",77,46.8,28.4,"46.8:28.4","Moldova (Republic of)"
"MD",1031,"DUBOSSARY                               ","+47:18:00","+029:06:00",42,47.3,29.1,"47.3:29.1","Moldova (Republic of)"
"MD",1032,"BEL-CATA                                ","+47:06:00","+029:00:00",79,47.1,29,"47.1:29","Moldova (Republic of)"
"MD",1033,"TIRASPOL                                ","+46:48:00","+029:42:00",19,46.8,29.7,"46.8:29.7","Moldova (Republic of)"
"MD",1034,"LEOVO                                   ","+46:30:00","+028:18:00",156,46.5,28.3,"46.5:28.3","Moldova (Republic of)"
"MD",1035,"KOMRAT                                  ","+46:18:00","+028:42:00",111,46.3,28.7,"46.3:28.7","Moldova (Republic of)"
"MD",1036,"KAGUL                                   ","+45:48:00","+028:12:00",196,45.8,28.2,"45.8:28.2","Moldova (Republic of)"
"MD",1037,"CADIR-LUNGA                             ","+46:06:00","+028:54:00",180,46.1,28.9,"46.1:28.9","Moldova (Republic of)"
"MD",1038,"OLONESHTI                               ","+46:30:00","+029:54:00",110,46.5,29.9,"46.5:29.9","Moldova (Republic of)"
"PT",211,"BEJA                                    ","+38:01:00","-007:52:00",246,38.0166666666667,-6.13333333333333,"38.0166666666667:-6.13333333333333","Portugal"
"PT",212,"BRAGANCA                                ","+41:48:00","-006:43:59",690,41.8,-5.26694444444444,"41.8:-5.26694444444444","Portugal"
"PT",213,"COIMBRA                                 ","+40:12:00","-008:25:00",141,40.2,-7.58333333333333,"40.2:-7.58333333333333","Portugal"
"PT",214,"LISBOA GEOFISICA                        ","+38:43:00","-009:09:00",77,38.7166666666667,-8.85,"38.7166666666667:-8.85","Portugal"
"PT",215,"PORTO                                   ","+41:07:59","-008:36:00",93,41.1330555555556,-7.4,"41.1330555555556:-7.4","Portugal"
"PT",216,"TAVIRA                                  ","+37:07:00","-007:39:00",25,37.1166666666667,-6.35,"37.1166666666667:-6.35","Portugal"
"PT",290,"EXTREMO                                 ","+41:57:36","-008:28:12",380,41.96,-7.53,"41.96:-7.53","Portugal"
"PT",291,"PONTE DE LIMA                           ","+41:46:12","-008:35:24",15,41.77,-7.41,"41.77:-7.41","Portugal"
"PT",292,"BARCELOS                                ","+41:31:48","-008:37:11",25,41.53,-7.38027777777778,"41.53:-7.38027777777778","Portugal"
"PT",293,"AMARANTE                                ","+41:16:12","-008:04:12",90,41.27,-7.93,"41.27:-7.93","Portugal"
"PT",294,"CAMPI                                   ","+40:40:48","-008:13:12",446,40.68,-7.78,"40.68:-7.78","Portugal"
"PT",295,"AGUIAR DA BEIRA                         ","+40:48:36","-007:32:24",670,40.81,-6.46,"40.81:-6.46","Portugal"
"PT",296,"ALMEIDINHA                              ","+40:36:00","-007:07:48",815,40.6,-6.87,"40.6:-6.87","Portugal"
"PT",297,"GAFANHA DA NAZAR                        ","+40:37:12","-008:42:59",8,40.62,-7.28361111111111,"40.62:-7.28361111111111","Portugal"
"PT",449,"FUNCHAL                                 ","+32:37:48","-016:53:59",25,32.63,-15.1002777777778,"32.63:-15.1002777777778","Portugal"
"PT",2956,"HORTA (AZORES)                          ","+38:31:12","-028:37:48",62,38.52,-27.37,"38.52:-27.37","Portugal"
"DK",106,"HAMMER ODDE FYR                         ","+55:18:00","+014:46:59",11,55.3,14.7830555555556,"55.3:14.7830555555556","Denmark"
"DK",107,"VESTERVIG                               ","+56:46:00","+008:19:00",18,56.7666666666667,8.31666666666667,"56.7666666666667:8.31666666666667","Denmark"
"DK",108,"GRONBAEK-ALLINGSKOVGARD                 ","+56:16:59","+009:37:00",25,56.2830555555556,9.61666666666667,"56.2830555555556:9.61666666666667","Denmark"
"DK",109,"NORDBY (FANO)                           ","+55:27:00","+008:24:00",4,55.45,8.4,"55.45:8.4","Denmark"
"DK",110,"STORE JYNDEVAD                          ","+54:54:00","+009:07:59",16,54.9,9.13305555555556,"54.9:9.13305555555556","Denmark"
"DK",111,"TINGLEV                                 ","+54:55:59","+009:15:00",23,54.9330555555556,9.25,"54.9330555555556:9.25","Denmark"
"DK",112,"BRODERUP                                ","+54:54:00","+009:16:12",23,54.9,9.27,"54.9:9.27","Denmark"
"DK",113,"TRANEBJERG                              ","+55:51:00","+010:36:00",11,55.85,10.6,"55.85:10.6","Denmark"
"DK",114,"KOEBENHAVN - METEOROLOGISK INSTITUT     ","+55:43:00","+012:34:00",8,55.7166666666667,12.5666666666667,"55.7166666666667:12.5666666666667","Denmark"
"DK",115,"KOEBENHAVN: BOTANISK HAVE               ","+55:40:59","+012:34:59",6,55.6830555555556,12.5830555555556,"55.6830555555556:12.5830555555556","Denmark"
"DK",116,"KOEBENHAVN: LANDBOHOJSKOLEN-1           ","+55:40:59","+012:31:59",9,55.6830555555556,12.5330555555556,"55.6830555555556:12.5330555555556","Denmark"
"DK",118,"SANDVIG                                 ","+55:16:59","+014:46:59",13,55.2830555555556,14.7830555555556,"55.2830555555556:14.7830555555556","Denmark"
"DK",302,"TRANEBJERG OST                          ","+55:49:59","+010:36:00",18,55.8330555555556,10.6,"55.8330555555556:10.6","Denmark"
"DK",305,"TRANEBJERG OST-1                        ","+55:49:59","+010:37:00",18,55.8330555555556,10.6166666666667,"55.8330555555556:10.6166666666667","Denmark"
"HR",21,"ZAGREB-GRIC                             ","+45:49:00","+015:58:41",156,45.8166666666667,15.9780555555556,"45.8166666666667:15.9780555555556","Croatia"
"HR",1681,"SPLIT MARJAN                            ","+43:31:00","+016:25:59",122,43.5166666666667,16.4330555555556,"43.5166666666667:16.4330555555556","Croatia"
"HR",1682,"LASTOVO                                 ","+42:46:00","+016:53:58",186,42.7666666666667,16.8994444444444,"42.7666666666667:16.8994444444444","Croatia"
"HR",1683,"RIJEKA                                  ","+45:19:59","+014:27:00",120,45.3330555555556,14.45,"45.3330555555556:14.45","Croatia"
"HR",1684,"GOSPIC                                  ","+44:33:00","+015:22:00",564,44.55,15.3666666666667,"44.55:15.3666666666667","Croatia"
"HR",1685,"OSIJEK                                  ","+45:31:59","+018:37:59",88,45.5330555555556,18.6330555555556,"45.5330555555556:18.6330555555556","Croatia"
"HR",1686,"HVAR                                    ","+43:10:00","+016:27:00",20,43.1666666666667,16.45,"43.1666666666667:16.45","Croatia"
"HR",1687,"ZAVIZAN                                 ","+44:49:00","+014:58:59",1594,44.8166666666667,14.9830555555556,"44.8166666666667:14.9830555555556","Croatia"
"HR",10901,"KNIN                                    ","+44:02:26","+016:12:24",255,44.0405555555556,16.2066666666667,"44.0405555555556:16.2066666666667","Croatia"
"HR",10902,"VARAZDIN                                ","+46:16:58","+016:21:50",167,46.2827777777778,16.3638888888889,"46.2827777777778:16.3638888888889","Croatia"
"HR",10903,"ZADAR                                   ","+44:07:48","+015:12:20",5,44.13,15.2055555555556,"44.13:15.2055555555556","Croatia"
"HR",10962,"OGULIN                                  ","+45:12:14","+015:16:18",326,45.2038888888889,15.2716666666667,"45.2038888888889:15.2716666666667","Croatia"
"HR",10963,"DUBROVNIK                               ","+42:33:36","+018:16:12",165,42.56,18.27,"42.56:18.27","Croatia"
"LY",3767,"WHEELUS                                 ","+32:54:00","+013:16:59",11,32.9,13.2830555555556,"32.9:13.2830555555556","Libya"
"LY",7939,"NALUT                                   ","+31:52:12","+010:58:48",621,31.87,10.98,"31.87:10.98","Libya"
"LY",7940,"ZUARA                                   ","+32:52:48","+012:04:48",3,32.88,12.08,"32.88:12.08","Libya"
"LY",7941,"TRIPOLI AIRPORT                         ","+32:40:12","+013:09:00",81,32.67,13.15,"32.67:13.15","Libya"
"LY",7942,"TRIPOLI SIDI EL MESRI                   ","+32:52:11","+013:13:12",25,32.8697222222222,13.22,"32.8697222222222:13.22","Libya"
"LY",7943,"TRIPOLI CITY                            ","+32:54:00","+013:10:48",25,32.9,13.18,"32.9:13.18","Libya"
"LY",7944,"MISURATA                                ","+32:24:35","+015:03:00",32,32.4097222222222,15.05,"32.4097222222222:15.05","Libya"
"LY",7945,"SIRTE                                   ","+31:12:00","+016:34:47",13,31.2,16.5797222222222,"31.2:16.5797222222222","Libya"
"LY",7946,"BENGHAZI BENINA                         ","+32:04:48","+020:16:12",132,32.08,20.27,"32.08:20.27","Libya"
"LY",7947,"BENGHAZI RAGMA                          ","+32:04:12","+020:04:12",322,32.07,20.07,"32.07:20.07","Libya"
"LY",7948,"AGEDABIA                                ","+30:43:12","+020:10:12",7,30.72,20.17,"30.72:20.17","Libya"
"LY",7949,"SHAHAT                                  ","+32:47:59","+021:52:48",648,32.7997222222222,21.88,"32.7997222222222:21.88","Libya"
"LY",7950,"DERNA                                   ","+32:45:36","+022:39:36",10,32.76,22.66,"32.76:22.66","Libya"
"TN",2165,"BIZERTE KAROUBA                         ","+37:15:00","+009:48:00",5,37.25,9.8,"37.25:9.8","Tunisia"
"TN",2166,"TUNIS-CARTHAGE                          ","+36:49:48","+010:13:48",3,36.83,10.23,"36.83:10.23","Tunisia"
"TN",2167,"KELIBIA                                 ","+36:51:00","+011:04:48",29,36.85,11.08,"36.85:11.08","Tunisia"
"TN",2168,"JENDOUBA                                ","+36:28:48","+008:48:00",143,36.48,8.8,"36.48:8.8","Tunisia"
"TN",2169,"KAIROUAN                                ","+35:40:12","+010:06:00",60,35.67,10.1,"35.67:10.1","Tunisia"
"TN",2172,"SFAX EL-MAOU                            ","+34:43:12","+010:40:48",21,34.72,10.68,"34.72:10.68","Tunisia"
"TN",2173,"TOZEUR                                  ","+33:55:12","+008:06:00",87,33.92,8.1,"33.92:8.1","Tunisia"
"TN",2174,"GABES                                   ","+33:52:48","+010:06:00",4,33.88,10.1,"33.88:10.1","Tunisia"
"TN",2175,"DJERBA MELLITA                          ","+33:52:11","+010:46:12",3,33.8697222222222,10.77,"33.8697222222222:10.77","Tunisia"
"TN",7959,"BIZERTE CAP BLANC                       ","+37:19:48","+009:50:24",264,37.33,9.84,"37.33:9.84","Tunisia"
"TN",7960,"TUNIS                                   ","+36:48:00","+010:10:12",36,36.8,10.17,"36.8:10.17","Tunisia"
"TN",7961,"EL DJEM                                 ","+35:19:48","+010:42:00",112,35.33,10.7,"35.33:10.7","Tunisia"
"LU",203,"LUXEMBOURG AIRPORT                      ","+49:37:48","+006:12:36",376,49.63,6.21,"49.63:6.21","Luxembourg"
"LU",279,"ALTRIER                                 ","+49:44:24","+006:19:12",391,49.74,6.32,"49.74:6.32","Luxembourg"
"LU",280,"ARSDORF                                 ","+49:51:00","+005:52:12",416,49.85,5.87,"49.85:5.87","Luxembourg"
"LU",281,"BELVAUX                                 ","+49:30:36","+005:55:48",340,49.51,5.93,"49.51:5.93","Luxembourg"
"LU",282,"BETTBORN-PRATZ                          ","+49:48:00","+005:56:24",300,49.8,5.94,"49.8:5.94","Luxembourg"
"LU",283,"CALMUS                                  ","+49:43:48","+005:58:12",295,49.73,5.97,"49.73:5.97","Luxembourg"
"LU",284,"CLERVAUX-HAUTBELLAIN                    ","+50:03:00","+006:01:48",465,50.05,6.03,"50.05:6.03","Luxembourg"
"LU",285,"ERMSDORF                                ","+49:49:48","+006:12:36",250,49.83,6.21,"49.83:6.21","Luxembourg"
